,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
11,Austria,AUT,6592.7,7311.7,7756.1,8374.2,9170.0,9994.1,10887.7,11579.4,12440.6,13582.8,15373.0,17858.5,22059.6,29515.5,35189.3,40059.2,42960.0,51545.8,62052.3,73937.3,82058.9,71034.2,71275.3,72121.0,67985.3,69386.8,99036.2,124168.0,133339.0,133106.0,166463.0,173794.0,195078.0,190380.0,203535.0,241038.0,237251.0,212790.0,218260.0,217186.0,196800.0,197338.0,213378.0,261696.0,300904.0,315974.0,335999.0,388691.0,430294.0,400172.0,391893.0,431120.0,409425.0,430069.0,441885.0,382066.0,390800.0
12,Azerbaijan,AZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8858.0,8792.4,4991.4,3973.0,3313.7,3052.5,3176.7,3962.7,4446.4,4581.2,5272.6,5707.7,6235.8,7276.0,8680.5,13245.7,20983.0,33050.3,48852.5,44291.5,52902.7,65951.6,69684.3,74164.4,75244.2,53074.4,37847.7
13,Bahamas,BHS,169.8,190.1,212.3,237.7,266.7,300.4,340.0,390.2,444.9,528.1,538.4,573.4,590.9,670.9,632.4,596.2,642.1,713.0,832.4,1139.8,1335.3,1426.5,1578.3,1732.8,2041.1,2320.7,2472.5,2714.0,2817.9,3062.0,3166.0,3111.2,3109.0,3092.0,3259.0,3429.0,3609.0,4961.1,5353.5,6020.0,6327.6,6516.7,6958.0,6949.3,7094.4,7706.2,7965.6,8319.0,8247.0,7820.0,7910.0,7890.0,10720.5,10677.2,10843.8,11240.0,11261.8
14,Bahrain,BHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3072.7,3467.8,3645.7,3735.1,3905.6,3651.9,3052.4,3392.0,3702.4,3863.6,4229.8,4616.2,4751.1,5200.3,5567.6,5849.5,6101.9,6349.2,6183.8,6621.0,9062.9,8976.2,9632.2,11074.8,13150.2,15968.7,18505.1,21730.0,25710.9,22938.2,25713.3,28776.6,30749.3,32539.5,33387.7,31125.9,32179.1
15,Bangladesh,BGD,4274.9,4817.6,5081.4,5319.5,5386.1,5906.6,6439.7,7253.6,7483.7,8471.0,8992.7,8751.8,6288.2,8086.7,12512.5,19448.3,10117.1,9651.1,13281.8,15565.5,18138.0,20249.7,18525.4,17609.0,18920.8,22278.4,21774.0,24298.0,26579.0,28781.7,31598.3,30957.5,31708.9,33166.5,33768.7,37939.7,46438.5,48244.3,49984.6,51270.6,53369.8,53991.3,54724.1,60158.9,65108.5,69442.9,71819.1,79611.9,91631.3,102478.0,115279.0,128638.0,133356.0,149990.0,172885.0,195079.0,221415.0
16,Barbados,BRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.3,2007.1,1950.9,2046.2,2151.3,2262.0,2411.9,2549.3,2874.5,3012.1,3121.5,3116.6,3169.6,3274.8,3514.4,3897.3,4246.6,4523.8,4607.3,4434.0,4461.6,4660.9,4656.4,4612.5,4608.4,4584.2,4529.0
17,Belarus,BLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21650.0,17420.0,17120.4,16286.3,14932.2,13972.6,14756.9,14128.4,15222.0,12138.5,12736.9,12354.8,14594.9,17825.4,23141.6,30210.1,36961.8,45275.7,60763.5,49209.5,57222.5,61757.8,65685.1,75528.0,78813.8,56454.7,47407.2
18,Belgium,BEL,11658.7,12400.1,13264.0,14260.0,15960.1,17371.5,18651.9,19992.0,21376.4,23710.7,26849.1,29981.3,37408.6,47999.4,56333.0,66029.7,71494.5,83283.3,101788.0,116938.0,127508.0,105291.0,92588.9,87650.9,83795.7,86730.0,120661.0,150194.0,163168.0,165100.0,206431.0,211638.0,236038.0,225925.0,246195.0,289567.0,281358.0,254814.0,260602.0,260202.0,237905.0,237842.0,258860.0,319003.0,370885.0,387366.0,409813.0,471821.0,518626.0,484553.0,483548.0,527008.0,497884.0,520925.0,531076.0,455200.0,467956.0
19,Belize,BLZ,28.1,30.0,31.9,33.7,36.2,40.1,44.4,47.4,44.9,47.3,53.2,59.2,66.1,78.3,103.2,118.1,96.9,117.6,136.3,151.8,194.8,192.9,179.2,189.0,210.9,209.2,227.8,276.6,314.9,363.2,413.0,444.7,518.2,559.9,580.9,620.1,641.4,654.3,689.0,732.7,832.1,871.9,932.6,990.4,1057.8,1114.2,1217.5,1290.6,1368.6,1337.0,1397.1,1486.7,1573.6,1613.7,1706.5,1742.5,1741.1
20,Benin,BEN,226.2,235.7,236.4,253.9,269.8,289.9,302.9,306.2,326.3,330.7,333.6,335.1,410.3,504.4,554.7,676.9,698.4,750.0,928.8,1186.2,1405.3,1291.1,1267.8,1095.3,1051.1,1045.7,1336.1,1562.4,1620.2,1502.3,1960.0,1986.4,1695.3,2274.6,1598.1,2169.6,2361.1,2268.3,2455.1,2689.8,2569.2,2680.2,3054.6,3905.4,4521.4,4803.7,5142.4,5969.5,7132.8,7097.2,6970.2,7814.1,8152.6,9156.7,9707.4,8291.0,8583.0
21,Bermuda,BMU,84.5,89.2,94.1,96.4,107.6,114.3,134.2,155.1,150.0,164.9,186.3,211.1,235.4,269.5,312.6,345.0,386.3,447.0,475.8,517.2,613.3,739.1,785.5,889.4,985.7,1039.5,1173.5,1296.5,1415.1,1501.5,1592.4,1634.9,1679.9,1820.4,1867.2,2030.7,2695.4,2932.8,3130.7,3324.4,3480.2,3680.5,3937.2,4186.5,4484.7,4868.1,5414.3,5895.0,6109.9,5806.4,5744.4,5550.8,5537.5,5573.7,0.0,0.0,0.0
22,Bhutan,BTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.7,146.4,148.9,165.6,169.3,172.2,201.4,253.2,283.9,275.9,299.8,250.0,250.8,235.2,270.8,303.1,316.4,366.0,377.0,419.0,439.2,476.4,537.1,622.0,702.7,818.9,897.7,1196.1,1258.3,1264.8,1585.5,1820.2,1823.7,1798.3,1944.8,2059.3,2212.6
23,Bolivia,BOL,563.1,612.5,669.7,721.1,812.5,908.9,994.0,1084.1,908.9,964.6,1017.2,1095.5,1257.6,1263.0,2100.2,2404.7,2732.1,3227.4,3758.2,4421.3,4537.5,5891.6,5594.1,5422.7,6169.5,5377.3,3959.4,4348.0,4597.6,4716.0,4867.6,5343.3,5643.9,5734.7,5981.2,6715.2,7397.0,7925.7,8497.5,8285.1,8397.9,8141.5,7905.5,8082.4,8773.5,9549.1,11451.9,13120.2,16674.3,17340.0,19649.6,23963.0,27084.5,30659.3,32996.2,33000.2,33806.4
24,Bosnia and Herzegovina,BIH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1255.8,1866.6,2786.0,3671.8,4116.7,4685.7,5506.0,5749.0,6651.2,8370.0,10022.8,11225.1,12866.5,15776.4,19112.7,17613.8,17176.8,18644.7,17226.8,18178.5,18558.3,16209.7,16910.3
25,Botswana,BWA,30.4,32.9,35.6,38.1,41.6,45.8,51.5,58.6,66.2,77.4,96.2,127.0,165.3,244.1,306.0,355.2,372.0,451.6,590.4,819.9,1060.9,1073.9,1014.9,1172.3,1240.8,1114.8,1392.6,1965.3,2644.5,3083.8,3790.6,3942.8,4146.5,4160.1,4259.3,4730.6,4847.8,5020.2,4790.5,5484.3,5788.3,5489.6,5438.9,7511.6,8957.5,9931.1,10126.9,10939.1,10945.1,10267.1,12786.7,15682.9,14686.3,14915.8,16259.4,14430.6,15581.1
26,Brazil,BRA,15165.6,15236.9,19926.3,23021.5,21211.9,21790.0,27062.7,30591.8,33875.9,37458.9,42327.6,49204.5,58539.0,79279.1,105136.0,123709.0,152678.0,176171.0,200801.0,224969.0,235025.0,263561.0,281682.0,203305.0,209024.0,222943.0,268137.0,294084.0,330397.0,425595.0,461952.0,602860.0,400599.0,437799.0,558112.0,785643.0,850426.0,883199.0,863723.0,599389.0,655421.0,559373.0,507963.0,558320.0,669316.0,891630.0,1107640.0,1397080.0,1695820.0,1667020.0,2208870.0,2616200.0,2465190.0,2472810.0,2455990.0,1803650.0,1796190.0
27,"Virgin Islands, British",VGB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Brunei,BRN,0.0,0.0,0.0,0.0,0.0,114.0,132.8,139.0,160.8,161.2,179.1,197.5,270.8,433.1,1073.6,1168.3,1423.1,1732.7,1941.6,2803.8,4928.8,4366.2,4264.3,3844.7,3782.5,3523.6,2358.6,2754.5,2690.7,2985.5,3520.6,3701.7,4183.5,4105.7,4087.3,4734.0,5115.6,5197.3,4051.1,4600.0,6001.2,5601.1,5843.3,6557.3,7872.3,9531.4,11470.7,12247.7,14393.1,10732.4,13707.4,18525.3,19048.5,18093.8,17098.3,12930.4,11400.7
29,Bulgaria,BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19839.2,19870.0,19342.0,16563.7,17594.9,17155.4,20249.3,28101.0,22555.9,21988.4,20632.1,10943.5,10350.5,10829.7,9697.4,13063.4,10109.4,11195.6,14631.0,13495.1,13148.1,14135.4,16360.3,21074.8,26094.6,29821.7,34304.4,44765.7,54409.1,51884.5,50610.0,57418.4,53903.0,55758.7,56732.0,50199.1,53237.9
30,Burkina Faso,BFA,330.4,350.2,379.6,394.0,410.3,422.9,433.9,450.8,460.4,478.3,458.4,482.4,578.6,674.8,751.1,940.0,976.5,1131.2,1475.6,1748.5,1928.7,1775.8,1754.5,1600.3,1459.9,1552.5,2036.3,2369.8,2616.0,2615.6,3101.3,3135.0,2240.3,2332.0,1895.3,2379.5,2586.6,2447.7,2804.9,2993.8,2628.9,2812.8,3205.6,4205.7,4838.6,5462.7,5844.7,6771.3,8369.6,8369.2,8980.0,10724.1,11166.1,11947.2,12377.4,10419.3,11693.2
31,Burundi,BDI,196.0,203.0,213.5,232.7,260.8,159.0,165.4,178.3,183.2,190.2,242.7,252.8,246.8,304.3,345.3,421.0,448.4,547.5,610.2,782.5,919.7,969.0,1013.2,1082.9,987.1,1150.0,1201.7,1131.5,1082.4,1113.9,1132.1,1167.4,1083.0,938.6,925.0,1000.4,869.0,972.9,893.8,808.1,870.5,876.8,825.4,784.7,915.3,1117.3,1273.2,1356.1,1611.6,1739.8,2026.9,2355.7,2472.4,2714.5,3093.6,3066.7,3007.0
32,Cape Verde,CPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.2,139.5,140.6,138.5,132.0,137.7,190.7,235.3,264.3,267.4,306.9,319.8,357.2,490.4,406.6,487.1,502.0,490.6,521.9,592.4,539.2,563.0,621.0,814.0,924.3,972.0,1107.9,1513.9,1789.3,1711.8,1664.3,1864.8,1751.9,1851.0,1858.1,1574.3,1617.5
